community,,start,end
12_1243,0,105610000.0,107980000.0
12_125,0,13045000.0,21345000.0
12_1250,0,112980000.0,120125000.0
12_1266,0,105100000.0,118220000.0
12_1282,0,96085000.0,100695000.0
12_1311,0,125430000.0,131005000.0
12_1314,0,119850000.0,124055000.0
12_1345,0,130160000.0,133255000.0
12_1356,0,116590000.0,120335000.0
12_159,0,125650000.0,128775000.0
12_17,0,1175000.0,6795000.0
12_268,0,21485000.0,26820000.0
12_288,0,19525000.0,31670000.0
12_308,0,42000000.0,44650000.0
12_430,0,42795000.0,45515000.0
12_552,0,47470000.0,54405000.0
12_574,0,121905000.0,127115000.0
12_579,0,51965000.0,56630000.0
12_706,0,61275000.0,64645000.0
12_706,1,70240000.0,73645000.0
12_732,0,62420000.0,68580000.0
12_754,0,65135000.0,72500000.0
12_870,0,71310000.0,80170000.0
12_896,0,38085000.0,40790000.0
12_896,1,40790000.0,49075000.0
12_921,0,78375000.0,81345000.0
12_955,0,54560000.0,60975000.0
12_96,0,26585000.0,34495000.0
12_995,0,16495000.0,23420000.0
13_1007,0,72670000.0,75980000.0
13_1025,0,78850000.0,83810000.0
13_1027,0,24735000.0,29725000.0
13_103,0,21815000.0,24975000.0
13_1049,0,48320000.0,50895000.0
13_1054,0,74275000.0,81715000.0
13_1493,0,98220000.0,102740000.0
13_1552,0,102710000.0,104715000.0
13_1654,0,97525000.0,99900000.0
13_1717,0,95455000.0,98910000.0
13_259,0,30310000.0,37955000.0
13_310,0,38530000.0,47210000.0
13_321,0,29755000.0,32650000.0
13_341,0,42365000.0,53780000.0
13_381,0,50545000.0,53575000.0
13_52,0,24230000.0,25895000.0
13_58,0,109440000.0,111425000.0
13_68,0,80710000.0,84040000.0
13_779,0,38925000.0,41695000.0
13_950,0,94935000.0,97275000.0
14_1047,0,90330000.0,94355000.0
14_1096,0,87725000.0,91355000.0
14_1114,0,93440000.0,97650000.0
14_1130,0,96690000.0,100815000.0
14_1150,0,59965000.0,68310000.0
14_1151,0,82605000.0,85940000.0
14_221,0,52200000.0,55540000.0
14_294,0,29240000.0,35870000.0
14_334,0,30705000.0,38495000.0
14_381,0,64220000.0,67210000.0
14_484,0,61115000.0,62705000.0
14_57,0,90570000.0,95565000.0
14_57,1,95565000.0,98790000.0
14_579,0,90885000.0,92755000.0
14_60,0,20375000.0,22640000.0
14_639,0,49645000.0,54290000.0
14_688,0,95870000.0,99915000.0
14_758,0,57190000.0,63565000.0
14_762,0,52625000.0,59210000.0
14_781,0,77215000.0,79440000.0
14_805,0,69320000.0,72510000.0
14_806,0,72150000.0,75225000.0
14_807,0,67835000.0,69860000.0
14_812,0,66930000.0,67995000.0
14_815,0,66005000.0,68440000.0
14_815,1,69985000.0,73800000.0
14_829,0,73960000.0,79240000.0
14_87,0,20210000.0,26430000.0
15_148,0,23700000.0,27130000.0
15_190,0,79010000.0,82500000.0
15_207,0,30025000.0,33010000.0
15_207,1,33540000.0,35550000.0
15_216,0,36585000.0,39005000.0
15_226,0,35405000.0,38060000.0
15_237,0,60665000.0,63190000.0
